Sample_ID,Source_Type,pH,Temp_C,EC_uS_cm,TDS_mg_L,Turbidity_NTU,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,HCO3_mgL,Cl_mgL,SO4_mgL,NO3_mgL,F_mgL,Fe_mgL,Pb_ugL,Cu_mgL,As_ugL,Cr_ugL,TH_mgL,SAR,Percent_Na,WQI,WQI_Class,Facies
GW01,Borehole,4.9,26.7,53.6,27.1,0.09,35.4,12.6,18.2,4.1,122.0,25.6,18.4,8.4,0.42,0.12,2.0,0.021,3.0,5.0,140,0.78,22.4,36,Good,Ca-HCO3
GW02,Borehole,5.2,25.6,758.0,378.0,0.61,42.7,14.3,21.8,4.8,138.0,30.5,20.3,10.3,0.54,0.15,3.0,0.028,4.0,6.0,165,0.82,23.5,39,Good,Ca-HCO3
GW03,Borehole,4.9,25.6,54.0,26.9,0.43,48.5,16.7,25.6,5.1,154.0,35.8,24.5,18.7,0.2,0.23,4.0,0.033,5.0,7.0,190,0.89,24.8,44,Good,Ca-Mg-HCO3
GW04,Borehole,5.4,28.0,143.2,71.5,10.2,31.8,10.5,16.9,3.9,118.0,22.3,17.8,6.2,0.27,0.18,2.0,0.02,3.0,5.0,125,0.76,21.8,34,Good,Ca-HCO3
GW05,Borehole,5.1,25.9,41.5,20.6,0.63,54.2,18.4,34.7,6.5,182.0,46.1,31.7,27.8,0.41,0.31,5.0,0.041,6.0,8.0,212,1.14,27.5,56,Poor,Ca-Mg-HCO3
GW06,Borehole,5.8,25.8,173.8,86.9,0.2,51.8,17.3,28.4,5.6,170.0,40.5,28.6,22.4,0.55,0.26,4.0,0.038,5.0,7.0,205,1.01,25.9,52,Poor,Ca-Mg-HCO3
GW07,HDW,5.1,27.2,43.3,21.6,0.38,61.5,21.2,38.8,7.2,210.0,54.6,39.5,41.7,0.44,0.54,6.0,0.045,8.0,10.0,255,1.28,30.6,73,Poor,Mixed Ca-Mg-Na-HCO3
GW08,HDW,4.4,25.7,426.7,214.0,0.52,46.4,15.6,24.3,4.9,145.0,32.8,22.7,15.2,0.44,0.19,3.0,0.031,4.0,6.0,178,0.86,24.1,42,Good,Ca-HCO3
GW09,HDW,4.3,25.9,231.5,114.9,0.39,43.9,13.7,22.5,4.5,140.0,29.7,21.5,9.6,0.57,0.17,3.0,0.026,4.0,6.0,170,0.83,23.7,40,Good,Ca-HCO3
GW10,Borehole,5.6,27.9,131.9,65.9,1.17,57.3,18.8,31.6,6.0,178.0,43.2,30.4,25.1,0.48,0.34,5.0,0.042,6.0,8.0,220,1.08,27.2,58,Poor,Ca-Mg-HCO3
